debtor_id,recommended_channel,confidence,needs_human_review,action
D100120,email,0.929,False,Auto-contact via email
D100609,sms,0.789,False,Auto-contact via sms
D102999,sms,0.526,True,Flag for human review
D103734,sms,0.773,False,Auto-contact via sms
D100705,email,0.723,False,Auto-contact via email
D101229,email,0.513,True,Flag for human review
D103406,sms,0.773,False,Auto-contact via sms
D101632,sms,0.655,False,Auto-contact via sms
D101082,sms,0.773,False,Auto-contact via sms
D102666,email,0.697,False,Auto-contact via email
D100331,sms,0.773,False,Auto-contact via sms
D100934,sms,0.789,False,Auto-contact via sms
D100457,email,0.513,True,Flag for human review
D103385,email,0.538,True,Flag for human review
D103686,sms,0.655,False,Auto-contact via sms
D102364,email,0.611,False,Auto-contact via email
D103708,email,0.513,True,Flag for human review
D102306,email,0.513,True,Flag for human review
D101347,email,0.8,False,Auto-contact via email
D103444,email,0.723,False,Auto-contact via email
D103481,email,0.611,False,Auto-contact via email
D101453,email,0.723,False,Auto-contact via email
D101507,email,0.697,False,Auto-contact via email
D101597,email,0.723,False,Auto-contact via email
D101477,email,0.723,False,Auto-contact via email
D101109,email,0.611,False,Auto-contact via email
D101922,email,0.513,True,Flag for human review
D101074,email,0.723,False,Auto-contact via email
D101156,sms,0.773,False,Auto-contact via sms
D103357,email,0.723,False,Auto-contact via email
D102678,sms,0.526,True,Flag for human review
D102286,email,0.886,False,Auto-contact via email
D100877,email,0.723,False,Auto-contact via email
D102374,email,0.513,True,Flag for human review
D100492,email,0.595,True,Flag for human review
D103078,sms,0.526,True,Flag for human review
D101143,sms,0.773,False,Auto-contact via sms
D103346,email,0.595,True,Flag for human review
D101779,email,0.513,True,Flag for human review
D102350,sms,0.435,True,Flag for human review
D102476,sms,0.526,True,Flag for human review
D103733,email,0.723,False,Auto-contact via email
D103394,email,0.723,False,Auto-contact via email
D102596,sms,0.526,True,Flag for human review
D102811,email,0.611,False,Auto-contact via email
D103179,email,0.8,False,Auto-contact via email
D103271,email,0.723,False,Auto-contact via email
D103813,email,0.513,True,Flag for human review
D102989,email,0.513,True,Flag for human review
D103005,sms,0.773,False,Auto-contact via sms
D102711,sms,0.773,False,Auto-contact via sms
D100674,sms,0.655,False,Auto-contact via sms
D103258,email,0.513,True,Flag for human review
D102722,email,0.513,True,Flag for human review
D102996,email,0.723,False,Auto-contact via email
D101033,email,0.723,False,Auto-contact via email
D101038,email,0.595,True,Flag for human review
D101018,sms,0.526,True,Flag for human review
D100142,post,0.706,False,Auto-contact via post
D100632,email,0.513,True,Flag for human review
D103974,email,0.513,True,Flag for human review
D103907,email,0.723,False,Auto-contact via email
D102825,email,0.723,False,Auto-contact via email
D100675,email,0.723,False,Auto-contact via email
D100565,email,0.611,False,Auto-contact via email
D102000,email,0.513,True,Flag for human review
D102326,email,0.8,False,Auto-contact via email
D100422,email,0.513,True,Flag for human review
D100280,sms,0.47,True,Flag for human review
D100287,email,0.8,False,Auto-contact via email
D100464,email,0.723,False,Auto-contact via email
D103848,email,0.513,True,Flag for human review
D102294,sms,0.655,False,Auto-contact via sms
D101702,sms,0.655,False,Auto-contact via sms
D103400,sms,0.667,False,Auto-contact via sms
D103037,email,0.723,False,Auto-contact via email
D101600,email,0.723,False,Auto-contact via email
D103850,email,1.0,False,Auto-contact via email
D101553,email,0.723,False,Auto-contact via email
D102912,email,0.611,False,Auto-contact via email
D101595,email,0.723,False,Auto-contact via email
D102363,email,0.723,False,Auto-contact via email
D103980,sms,0.655,False,Auto-contact via sms
D101281,email,0.8,False,Auto-contact via email
