debtor_id,age_bracket,debt_amount,days_since_last_contact,prior_contact_attempts,time_of_day_last_contact,day_of_week_last_contact,partial_payment_history,true_p_email,true_p_sms,true_p_post,responded_email,responded_sms,responded_post
D100000,51-65,95.91,40,4,afternoon,sun,0,0.524598959183111,0.535732472727696,0.639347527106979,1,1,1
D100001,26-35,63.62,67,3,afternoon,fri,1,0.7023098145924545,0.45270865479651534,0.9231554466564111,0,0,1
D100002,51-65,826.61,3,1,afternoon,tue,1,0.5991329753140927,0.8967869912322415,0.5561841860369765,1,1,1
D100003,36-50,2165.06,65,1,afternoon,sun,0,0.11227547396261238,0.15679770963952092,0.7251723139734523,0,0,1
D100004,18-25,159.47,20,3,evening,fri,0,0.6510586837722566,0.9076892081560693,0.24855315517848978,0,1,1
D100005,65+,74.56,62,1,evening,wed,0,0.3261301409747305,0.5080299312277201,0.47115401433490744,0,0,0
D100006,51-65,32.68,44,1,night,thu,1,0.47630493710172095,0.7233186686677431,0.673698587269177,0,0,1
D100007,51-65,196.43,2,1,morning,wed,0,0.698208606928023,0.7283389951937769,0.570870798510664,0,1,0
D100008,18-25,184.06,68,1,afternoon,sat,1,0.6330854842773066,0.814497000310982,0.5834785482217767,1,1,1
D100009,36-50,136.16,23,2,evening,thu,1,0.478125063077454,0.7674419870735597,0.10003065349178755,1,0,1
D100010,26-35,298.64,85,1,afternoon,mon,1,0.6074596405677798,0.8490519808637044,0.4971411688603538,1,1,0
D100011,65+,349.2,75,3,afternoon,fri,0,0.17472665194080106,0.12490925228503952,0.4568165269562079,0,0,0
D100012,36-50,327.27,17,3,night,sat,0,0.2866663411237762,0.3824220782995462,0.28524126580160475,0,0,0
D100013,51-65,184.1,54,0,evening,wed,0,0.8550790686343992,0.8201190394022007,0.22622958387478817,1,0,1
D100014,26-35,90.79,32,2,evening,sun,1,0.7110583166730776,0.7757647560607086,0.4097050154647729,0,0,0
D100015,26-35,445.52,54,2,afternoon,wed,1,0.9209361001044982,0.6194500915530178,0.3334372845725871,1,1,0
D100016,36-50,247.46,50,0,evening,tue,0,0.7134908722767301,0.7950591505602612,0.3376518612760943,1,1,0
D100017,18-25,544.31,26,4,afternoon,fri,1,0.768879514261159,0.8850356231303477,0.10810948971064842,1,1,0
D100018,51-65,498.23,58,2,afternoon,mon,0,0.7521753100885699,0.12394111476536042,0.5387768144001014,0,0,1
D100019,36-50,68.06,23,3,morning,sun,0,0.6317723918808411,0.691816816183512,0.26738449943535636,0,1,0
D100020,51-65,67.3,81,1,evening,fri,0,0.3033564555482771,0.4256996758609619,0.15303194241230034,0,0,1
D100021,26-35,123.97,85,2,afternoon,wed,1,0.6179439778091275,0.8068177736199011,0.31696273400911035,0,1,0
D100022,65+,94.57,14,4,evening,mon,0,0.5122459214003909,0.4057066941327795,0.47156858254083694,1,0,0
D100023,51-65,482.86,65,3,evening,fri,0,0.3824200529140012,0.46067893391323883,0.5066114274903034,0,1,1
D100024,51-65,335.69,83,2,evening,fri,0,0.6002904587116101,0.0619304051994139,0.3460793107976355,0,0,1
D100025,26-35,658.04,11,4,morning,sat,0,0.13461957653765647,0.3256882092737236,0.10316865112095024,1,0,0
D100026,36-50,349.62,66,1,evening,tue,0,0.4152412145077299,0.6678357733182952,0.21400172158585853,1,1,1
D100027,18-25,295.24,84,0,afternoon,tue,0,0.21629070594909242,0.9663445938265549,0.060908971521100884,1,1,0
D100028,26-35,720.36,20,0,afternoon,wed,1,0.6673846836508311,0.8462614418287883,0.7783498370461738,1,1,1
D100029,36-50,373.44,52,2,morning,sat,1,0.4513311529150259,0.345632098774982,0.8373212231166353,1,1,1
D100030,51-65,260.16,71,2,evening,sun,0,0.352454334725458,0.3474555536692937,0.83291788049929,0,0,0
D100031,65+,927.42,30,2,evening,wed,1,0.6653687510959102,0.21993507960128247,0.5966011418435496,1,0,1
D100032,26-35,271.42,21,1,night,mon,1,0.5189254514267574,0.9301349365067537,0.8276792362465418,0,1,1
D100033,26-35,186.06,35,5,afternoon,mon,1,0.6521844890010203,0.7199323921803877,0.5889184666996325,0,0,1
D100034,36-50,115.12,30,3,afternoon,thu,0,0.39413906396989734,0.79264893928884,0.251665086000845,0,1,0
D100035,26-35,460.69,65,1,morning,mon,1,0.40675124548462405,0.648607129129026,0.30611298155208355,1,0,0
D100036,18-25,744.97,33,1,night,sat,0,0.758186479371778,0.8251844154958266,0.287431554693327,0,1,0
D100037,36-50,233.8,33,1,evening,mon,0,0.5661326074313763,0.18748344438570738,0.48584869878357817,0,0,0
D100038,26-35,794.03,85,4,night,wed,1,0.038902565082543,0.48822749510552327,0.5174733753920663,0,0,1
D100039,36-50,41.55,52,0,afternoon,sat,0,0.7639404855636057,0.6475174213715634,0.4615780613323319,1,1,0
D100040,26-35,232.78,83,6,morning,thu,1,0.2916805231002125,0.4731860166318146,0.3340698830242377,0,0,1
D100041,51-65,236.02,63,1,evening,fri,1,0.8041721644216465,0.6386460237084208,0.8911598218884621,1,1,1
D100042,36-50,127.19,79,0,afternoon,wed,0,0.6498398697191221,0.5719364162339898,0.40098871081255527,1,1,1
D100043,26-35,2091.16,17,3,afternoon,sat,0,0.3303683838455402,0.6843076523835719,0.24887110414261504,0,1,0
D100044,51-65,230.54,84,2,morning,wed,1,0.623793473755132,0.6129341519966572,0.5705529309929105,0,1,0
D100045,51-65,169.53,84,2,morning,sat,0,0.417759731983166,0.3747010481800491,0.47837150847051424,0,1,1
D100046,26-35,250.48,3,2,afternoon,sun,1,0.9077016244930607,0.9040937380158657,0.2009359323238619,1,1,1
D100047,26-35,40.35,32,1,night,wed,1,0.14400872831449454,0.4284411201349453,0.27952461238712445,0,1,0
D100048,36-50,123.48,37,2,evening,tue,0,0.3770817750661461,0.3543427040707746,0.924113526811492,0,1,1
