debtor_id,debt_amount,days_since_last_contact,prior_contact_attempts,partial_payment_history,true_p_email,true_p_sms,true_p_post,responded_email,responded_sms,responded_post,age_18-25,age_26-35,age_36-50,age_51-65,age_65+,tod_afternoon,tod_evening,tod_morning,tod_night,dow_fri,dow_mon,dow_sat,dow_sun,dow_thu,dow_tue,dow_wed,is_weekend_contact,log_debt_amount,contact_intensity
D102549,310.72,89,3,0,0.1063675591699214,0.0417047081033889,0.6139331357630996,1,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1,5.74210534897536,0.03333333333333333
D103828,645.87,89,1,0,0.3431923150729636,0.248618331626694,0.5012458323514843,0,0,0,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,0,6.472145346955262,0.011111111111111112
D103865,634.56,89,2,0,0.4597488176642556,0.4009713403151019,0.1456559103272973,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1,6.454506500020166,0.022222222222222223
D101249,382.01,89,2,0,0.2124513249806547,0.3551910473355057,0.87197052029628,0,0,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0,5.948061098500369,0.022222222222222223
D102359,677.39,89,6,1,0.5478154825938406,0.386733674530911,0.6507038793056651,0,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,6.5197223438030125,0.06666666666666667
D102761,107.79,89,3,0,0.398471306286829,0.1873630082779575,0.6946344216649126,1,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0,4.689419418432991,0.03333333333333333
D103699,85.7,89,2,1,0.7266459443245529,0.4279682072495142,0.660505081236529,0,0,1,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0,4.462453883786496,0.022222222222222223
D100832,191.79,89,3,1,0.4819227620725883,0.6043338515794665,0.7795767715823168,1,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,5.261601513611377,0.03333333333333333
D102728,183.19,89,3,0,0.250135632849174,0.7011013275212533,0.3418398174587886,0,1,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1,5.215967833531011,0.03333333333333333
D101419,117.58,89,2,0,0.5149054541339282,0.0724296169281821,0.929832161488926,0,0,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0,4.775587838279222,0.022222222222222223
D101444,597.22,89,1,1,0.6323762665743774,0.5830838410361128,0.3067044690402493,0,1,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0,6.393958579271192,0.011111111111111112
D103843,289.34,89,4,0,0.3037365404328915,0.6598458407589584,0.5305083700225183,0,1,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0,5.671052650033282,0.044444444444444446
D103482,80.47,89,1,1,0.6044500596745618,0.1400056735197458,0.3871820032639314,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,1,4.400234854322551,0.011111111111111112
D101121,44.81,89,4,0,0.1484595208806293,0.6388540229317268,0.3503439008861284,0,1,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1,3.8245024078986507,0.044444444444444446
D101839,63.37,89,4,0,0.162103745283025,0.5589821548309712,0.2409243931702176,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0,4.164647686064525,0.044444444444444446
D101893,69.78,89,0,1,0.8604248937627312,0.3318446342645706,0.4007214635209521,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1,4.259576474917317,0.0
D101416,249.52,89,2,0,0.9237203687237692,0.082093896509481,0.3965158736737655,1,1,0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,0,5.523538757657212,0.022222222222222223
D103624,63.54,89,3,0,0.1375748629690502,0.3555634517953239,0.2459916470849588,1,0,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1,4.167285186623816,0.03333333333333333
D103610,361.75,89,1,0,0.3046726227784539,0.456405358633931,0.2491954495752887,0,1,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,1,5.893713891764297,0.011111111111111112
